/// Translator Credits: Name ///
Translator Name|kor$A토픽(topicular)|spa$Garrakx|fre$Daratrix|rus$Lex|chi$矛击汉化组
/// Translator Credits: Swap 'English' to your language. ///
Translated to English by <TranslatorName>|kor$한국어 번역: <TranslatorName>|spa$Traducido al español by <TranslatorName>|fre$Traduction française par <TranslatorName>|rus$Перевод на русский: <TranslatorName>|chi$由<TranslatorName>汉化

/// Essentials ///
No Mods Installed|kor$설치된 모드 없음|spa$No hay Mods instalados|fre$Aucun Mod installé|rus$Моды не установлены|chi$未安装模组
MOD CONFIG|kor$모드 설정|spa$CONFIGURAR MOD|fre$CONFIGURER MOD|rus$НАСТРОЙКА МОДОВ|chi$模组配置
APPLY|kor$적용|spa$APLICAR|fre$APPLIQUER|rus$ПРИМЕНИТЬ|chi$应用
SAVE ALL|kor$모두 적용|spa$GUARDAR TODO|fre$ENREGISTRER TOUT|rus$СОХРАНИТЬ ВСЕ|chi$保存所有
BACK|kor$뒤로|spa$VOLVER|fre$RETOUR|rus$НАЗАД|chi$返回
CANCEL|kor$취소|spa$CANCELAR|fre$ANNULER|rus$ОТМЕНА|chi$取消
RESET CONFIG|kor$설정 초기화|spa$RESTABLECER|fre$REINITIALISER|rus$СБРОСИТЬ\nНАСТРОЙКИ|chi$重置配置
Version: <ModVersion>|kor$버전: <ModVersion>|spa$Versión: <ModVersion>|fre$Version : <ModVersion>|rus$Версия: <ModVersion>|chi$版本：<ModVersion>
Author: <ModAuthor>|kor$제작자: <ModAuthor>|spa$Autor: <ModAuthor>|fre$Auteur : <ModAuthor>|rus$Автор: <ModAuthor>|chi$作者：<ModAuthor>
Configure <ModID> by <ModAuthor>|kor$<ModID> by <ModAuthor> 설정|spa$Configurar <ModID> por <ModAuthor>|fre$Configurer <ModID> par <ModAuthor>|rus$Настроить <ModID> от <ModAuthor>|chi$配置由<ModAuthor>制作的<ModID>
Display <ModID> by <ModAuthor>|kor$<ModID> by <ModAuthor> 표시|spa$Mostrar <ModID> por <ModAuthor>|fre$Afficher <ModID> par <ModAuthor>|rus$Отобразить <ModID> от <ModAuthor>|chi$显示由<ModAuthor>制作的<ModID>
<ModID> by <ModAuthor>|spa$<ModID> por <ModAuthor>|fre$<ModID> par <ModAuthor>|rus$<ModID> от <ModAuthor>|chi$由<ModAuthor>制作的<ModID>
Configure <ModID>|kor$<ModID> 설정|spa$Configurar <ModID>|fre$Configurer <ModID>|rus$Настроить <ModID>|chi$配置<ModID>
Display <ModID>|kor$<ModID> 표시|spa$Mostrar <ModID>|fre$Afficher <ModID>|rus$Отобразить <ModID>|chi$显示<ModID>
Switch to Tab <TabName>|kor$<TabName> 탭으로 전환|spa$Cambiar a la pestaña <TabName>|fre$Aller à l'onglet <TabName>|rus$Перейти на вкладку <TabName>|chi$转到标签<TabName>
Switch to Tab No <TabIndex>|kor$<TabIndex>번 탭 전환|spa$Cambiar a la pestaña No <TabIndex>|fre$Aller à l'onglet n°<TabIndex>|rus$Перейти на вкладку № <TabIndex>|chi$转到第<TabIndex>号标签
Hold down to restore original config of <ModID>|kor$꾹 눌러서 <ModID> 모드를 기본 설정으로 초기화|spa$Mantener presionado para restaurar la configuración original de <ModID>|fre$Maintenez enfoncé pour restaurer la configuration originale de <ModID>|rus$Удерживайте, чтобы восстановить исходную конфигурацию <ModID>|chi$按住以恢复到<ModID>的默认配置
Hold down to restore original config for this mod|kor$꾹 눌러서 이 모드를 기본 설정으로 초기화|spa$Mantener presionado para|fre$ restaurar la configuración original de este Mod|fre$Maintenez enfoncé pour restaurer la configuration originale de ce Mod|rus$Удерживайте, чтобы восстановить исходную конфигурацию этого мода|chi$按住以恢复到此模组的默认配置
Return to vanilla option menu (WITHOUT saving!)|kor$기본 설정메뉴로 돌아가기 (모드 설정 저장 안 됨!)|spa$Volver al menú de opciones (¡SIN guardar!)|fre$Retour au menu d'options (sans sauvergarder !)|rus$Вернуться в оригинальное меню параметров (Без сохранений)|chi$返回到默认选项目录（不会保存！）
Return to vanilla option menu|kor$기본 설정메뉴로 돌아가기|spa$Volver al menú de opciones|fre$Retour au menu d'options|rus$Вернуться в оригинальное меню параметров|chi$返回到默认选项目录
Save all changes and exit|kor$모든 변경사항을 저장하고 나가기|spa$Guardar todos los cambios y salir|fre$Enregistrer tous les changements et quitter|rus$Сохранить и выйти|chi$保存所有更改并退出
Save changed config of <ModID>|kor$<ModID> 모드의 바뀐 설정 저장|spa$Guardar configuración modificada de <ModID>|fre$Enregistrer les changements pour <ModID>|rus$Сохранить измененную конфигурацию: <ModID>|chi$保存对于<ModID>的配置
Save changed config of this mod|kor$이 모드의 바뀐 설정 저장|spa$Guardar configuración modificada de este Mod|fre$Enregistrer les changements pour ce mod|rus$Сохранить изменения конфигурации этого мода|chi$保存对于此模组的配置
Configure Settings for Rain World Mods|kor$레인월드 모드의 설정 관리|spa$Configurar ajustes para Rain World Mods|fre$Configurer les options pour Mods Rain World|rus$Изменить настройки модов Rain World|chi$配置雨世界模组的设定
// needs retranslation
This Partiality Mod has no Option Interface.|kor$이 Partiality 모드는 설정 화면이 없습니다.|spa$Este Partiality Mod no se puede configurar|fre$Ce Mod Partiality ne peut pas être configuré.|rus$Этот мод Partiality не может быть настроен|chi$此Partiality模组没有任何选项界面。
